Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date,Work_Packet
2118882E,2118882E,ON,2_21_07 12-39-05 AM,Oj_102
2258674E,2258674E,ON,2_21_07 12-39-05 AM,Oj_102
2119042E,2119042E,ON,2_21_07 12-39-05 AM,Oj_102
2119115E,2119115E,ON,2_21_07 12-39-05 AM,Oj_102
4548630E,4548630E,ON,2_21_07 12-39-05 AM,Oj_102
2119236E,2119236E,ON,2_21_07 12-39-05 AM,Oj_102
2119236E,2119236E,ON,2_21_07 12-39-05 AM,Oj_102
2148109E,2148109E,ON,2_21_07 12-39-05 AM,Oj_102
2258676E,2258676E,ON,2_21_07 12-39-05 AM,Oj_102
2149604E,2149604E,ON,2_21_07 12-39-05 AM,Oj_102
2196229E,2196229E,ON,2_21_07 12-39-05 AM,Oj_102
4482953E,4482953E,ON,2_21_07 12-39-05 AM,Oj_102
2333140E,2333140E,ON,2_21_07 12-39-05 AM,Oj_102
2119691E,2119691E,ON,2_21_07 12-39-05 AM,Oj_102
2119671E,2119671E,ON,2_21_07 12-39-05 AM,Oj_102
4486641E,4486641E,ON,2_21_07 12-39-05 AM,Oj_102
4482957E,4482957E,ON,2_21_07 12-39-05 AM,Oj_102
2258085E,2258085E,ON,2_21_07 12-39-05 AM,Oj_102
2149265E,2149265E,ON,2_21_07 12-39-05 AM,Oj_102
2194740E,2194740E,ON,2_21_07 12-39-05 AM,Oj_102
2148447E,2148447E,ON,2_21_07 12-39-05 AM,Oj_102
1956687E,1956687E,ON,2_21_07 12-39-05 AM,Oj_102
4584451E,4584451E,ON,2_21_07 12-39-05 AM,Oj_102
2318702E,2318702E,ON,2_21_07 12-39-05 AM,Oj_102
2148452E,2148452E,ON,2_21_07 12-39-06 AM,Oj_102
1911636E,1911636E,ON,2_21_07 12-39-06 AM,Oj_102
2148458E,2148458E,ON,2_21_07 12-39-06 AM,Oj_102
2195846E,2195846E,ON,2_21_07 12-39-06 AM,Oj_102
2149070E,2149070E,ON,2_21_07 12-39-06 AM,Oj_102
2148961E,2148961E,ON,2_21_07 12-39-06 AM,Oj_102
2119292E,2119292E,ON,2_21_07 12-39-06 AM,Oj_102
2333003E,2333003E,ON,2_21_07 12-39-06 AM,Oj_102
2148973E,2148973E,ON,2_21_07 12-39-06 AM,Oj_102
2119113E,2119113E,ON,2_21_07 12-39-06 AM,Oj_102
2258370E,2258370E,ON,2_21_07 12-39-06 AM,Oj_102
2258539E,2258539E,ON,2_21_07 12-39-06 AM,Oj_102
4437791E,4437791E,ON,2_21_07 12-39-06 AM,Oj_102
2257111E,2257111E,ON,2_21_07 12-39-06 AM,Oj_102
2119699E,2119699E,ON,2_21_07 12-39-06 AM,Oj_102
2119151E,2119151E,CYCLING,2_21_07 12-03-56 AM,Oj_102
2120152E,2120152E,ON,2_21_07 12-39-06 AM,Oj_102
2333032E,2333032E,ON,2_21_07 12-39-06 AM,Oj_102
2120109E,2120109E,ON,2_21_07 12-39-06 AM,Oj_102
2251558E,2251558E,ON,2_21_07 12-39-06 AM,Oj_102
4483249E,4483249E,ON,2_21_07 12-39-06 AM,Oj_102
2120212E,2120212E,ON,2_21_07 12-39-06 AM,Oj_102
2118885E,2118885E,ON,2_21_07 12-39-06 AM,Oj_102
2333135E,2333135E,ON,2_21_07 12-39-06 AM,Oj_102
2120114E,2120114E,ON,2_21_07 12-39-06 AM,Oj_102
4288055E,4288055E,ON,2_21_07 12-39-06 AM,Oj_102
4468602E,4468602E,ON,2_21_07 12-39-06 AM,Oj_102
2149136E,2149136E,ON,2_21_07 12-39-06 AM,Oj_102
2149136E,2149136E,ON,2_21_07 12-39-06 AM,Oj_102
2258356E,2258356E,OFF,2_20_07 11-27-40 PM,Oj_102
2148321E,2148321E,ON,2_21_07 12-39-06 AM,Oj_102
1911630E,1911630E,ON,2_21_07 12-39-06 AM,Oj_102
2119058E,2119058E,ON,2_21_07 12-39-06 AM,Oj_102
2148965E,2148965E,ON,2_21_07 12-39-06 AM,Oj_102
2119125E,2119125E,ON,2_21_07 12-39-06 AM,Oj_102
2258010E,2258010E,ON,2_21_07 12-39-06 AM,Oj_102
2258379E,2258379E,ON,2_21_07 12-39-06 AM,Oj_102
2148284E,2148284E,ON,2_21_07 12-39-06 AM,Oj_102
1945468E,1945468E,ON,2_21_07 12-39-06 AM,Oj_102
