Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date,Work_Packet
2149210E,2149210E,ON,2_21_07 12-39-08 AM,Oj_102
1956692E,1956692E,ON,2_21_07 12-39-08 AM,Oj_102
2149560E,2149560E,ON,2_21_07 12-39-08 AM,Oj_102
2258681E,2258681E,ON,2_21_07 12-39-08 AM,Oj_102
2258670E,2258670E,ON,2_21_07 12-39-08 AM,Oj_102
2257595E,2257595E,ON,2_21_07 12-39-08 AM,Oj_102
2149306E,2149306E,ON,2_21_07 12-39-08 AM,Oj_102
2149076E,2149076E,ON,2_21_07 12-39-08 AM,Oj_102
2148287E,2148287E,ON,2_21_07 12-39-08 AM,Oj_102
2258047E,2258047E,ON,2_21_07 12-39-08 AM,Oj_102
2318704E,2318704E,ON,2_21_07 12-39-08 AM,Oj_102
2258354E,2258354E,ON,2_21_07 12-39-08 AM,Oj_102
4055731E,4055731E,ON,2_21_07 12-39-08 AM,Oj_102
4055731E,4055731E,ON,2_21_07 12-39-08 AM,Oj_102
2119083E,2119083E,ON,2_21_07 12-39-08 AM,Oj_102
2333397E,2333397E,ON,2_21_07 12-39-08 AM,Oj_102
2119119E,2119119E,ON,2_21_07 12-39-08 AM,Oj_102
2258275E,2258275E,ON,2_21_07 12-39-08 AM,Oj_102
2258915E,2258915E,ON,2_21_07 12-39-08 AM,Oj_102
2196494E,2196494E,ON,2_21_07 12-39-08 AM,Oj_102
4401451E,4401451E,ON,2_21_07 12-39-08 AM,Oj_102
2149293E,2149293E,ON,2_21_07 12-39-08 AM,Oj_102
2318761E,2318761E,ON,2_21_07 12-39-08 AM,Oj_102
2257104E,2257104E,ON,2_21_07 12-39-08 AM,Oj_102
2149305E,2149305E,ON,2_21_07 12-39-08 AM,Oj_102
2120201E,2120201E,ON,2_21_07 12-39-08 AM,Oj_102
2149658E,2149658E,ON,2_21_07 12-39-08 AM,Oj_102
2148127E,2148127E,ON,2_21_07 12-39-09 AM,Oj_102
2120037E,2120037E,ON,2_21_07 12-39-09 AM,Oj_102
4400679E,4400679E,ON,2_21_07 12-39-09 AM,Oj_102
2257972E,2257972E,ON,2_21_07 12-39-09 AM,Oj_102
4474165E,4474165E,ON,2_21_07 12-39-09 AM,Oj_102
2119228E,2119228E,ON,2_21_07 12-39-09 AM,Oj_102
2333134E,2333134E,ON,2_21_07 12-39-09 AM,Oj_102
4471192E,4471192E,ON,2_21_07 12-39-09 AM,Oj_102
4486636E,4486636E,ON,2_21_07 12-39-09 AM,Oj_102
4170242E,4170242E,ON,2_21_07 12-39-09 AM,Oj_102
2119915E,2119915E,ON,2_21_07 12-39-09 AM,Oj_102
2333149E,2333149E,ON,2_21_07 12-39-09 AM,Oj_102
2120117E,2120117E,ON,2_21_07 12-39-09 AM,Oj_102
2120104E,2120104E,ON,2_21_07 12-39-09 AM,Oj_102
2119062E,2119062E,ON,2_21_07 12-39-09 AM,Oj_102
2119898E,2119898E,ON,2_21_07 12-39-09 AM,Oj_102
2119898E,2119898E,ON,2_21_07 12-39-09 AM,Oj_102
2148453E,2148453E,ON,2_21_07 12-39-09 AM,Oj_102
2258387E,2258387E,ON,2_21_07 12-39-09 AM,Oj_102
2257410E,2257410E,ON,2_21_07 12-39-09 AM,Oj_102
2251231E,2251231E,ON,2_21_07 12-39-09 AM,Oj_102
2251231E,2251231E,ON,2_21_07 12-39-09 AM,Oj_102
4400683E,4400683E,ON,2_21_07 12-39-09 AM,Oj_102
2120213E,2120213E,ON,2_21_07 12-39-09 AM,Oj_102
2148974E,2148974E,ON,2_21_07 12-39-09 AM,Oj_102
2251563E,2251563E,ON,2_21_07 12-39-09 AM,Oj_102
2318703E,2318703E,ON,2_21_07 12-39-09 AM,Oj_102
4468604E,4468604E,ON,2_21_07 12-39-09 AM,Oj_102
2149607E,2149607E,ON,2_21_07 12-39-09 AM,Oj_102
2149607E,2149607E,ON,2_21_07 12-39-09 AM,Oj_102
2258007E,2258007E,ON,2_21_07 12-39-09 AM,Oj_102
2120111E,2120111E,ON,2_21_07 12-39-09 AM,Oj_102
2251230E,2251230E,ON,2_21_07 12-39-09 AM,Oj_102
2149275E,2149275E,ON,2_21_07 12-39-09 AM,Oj_102
2318304E,2318304E,ON,2_21_07 12-39-09 AM,Oj_102
2149301E,2149301E,ON,2_21_07 12-39-09 AM,Oj_102
2318759E,2318759E,ON,2_21_07 12-39-09 AM,Oj_102
2258380E,2258380E,ON,2_21_07 12-39-09 AM,Oj_102
4486629E,4486629E,ON,2_21_07 12-39-09 AM,Oj_102
2120046E,2120046E,ON,2_21_07 12-39-09 AM,Oj_102
2195835E,2195835E,ON,2_21_07 12-39-09 AM,Oj_102
2148966E,2148966E,ON,2_21_07 12-39-09 AM,Oj_102
2119297E,2119297E,ON,2_21_07 12-39-09 AM,Oj_102
2119035E,2119035E,ON,2_21_07 12-39-09 AM,Oj_102
2148828E,2148828E,ON,2_21_07 12-39-09 AM,Oj_102
2119919E,2119919E,ON,2_21_07 12-39-09 AM,Oj_102
2318377E,2318377E,ON,2_21_07 12-39-09 AM,Oj_102
2251235E,2251235E,ON,2_21_07 12-39-09 AM,Oj_102
2333641E,2333641E,ON,2_21_07 12-39-09 AM,Oj_102
2119231E,2119231E,ON,2_21_07 12-39-09 AM,Oj_102
2119081E,2119081E,ON,2_21_07 12-39-09 AM,Oj_102
1945452E,1945452E,ON,2_21_07 12-39-09 AM,Oj_102
2195841E,2195841E,ON,2_21_07 12-39-09 AM,Oj_102
1911635E,1911635E,ON,2_21_07 12-39-09 AM,Oj_102
2148465E,2148465E,ON,2_21_07 12-39-09 AM,Oj_102
2148465E,2148465E,ON,2_21_07 12-39-09 AM,Oj_102
2258359E,2258359E,ON,2_21_07 12-39-09 AM,Oj_102
4468628E,4468628E,ON,2_21_07 12-39-09 AM,Oj_102
2119043E,2119043E,ON,2_21_07 12-39-09 AM,Oj_102
2119285E,2119285E,ON,2_21_07 12-39-09 AM,Oj_102
2318301E,2318301E,ON,2_21_07 12-39-09 AM,Oj_102
2149565E,2149565E,CYCLING,2_20_07 10-57-01 PM,Oj_102
2258351E,2258351E,ON,2_21_07 12-39-09 AM,Oj_102
2333411E,2333411E,ON,2_21_07 12-39-09 AM,Oj_102
2318478E,2318478E,ON,2_21_07 12-39-09 AM,Oj_102
2119122E,2119122E,ON,2_21_07 12-39-09 AM,Oj_102
2118876E,2118876E,ON,2_21_07 12-39-09 AM,Oj_102
2251690E,2251690E,ON,2_21_07 12-39-09 AM,Oj_102
2195833E,2195833E,ON,2_21_07 12-39-09 AM,Oj_102
2148823E,2148823E,ON,2_21_07 12-39-09 AM,Oj_102
1911622E,1911622E,ON,2_21_07 12-39-09 AM,Oj_102
2119695E,2119695E,ON,2_21_07 12-39-09 AM,Oj_102
1911629E,1911629E,ON,2_21_07 12-39-09 AM,Oj_102
2318374E,2318374E,ON,2_21_07 12-39-09 AM,Oj_102
2149315E,2149315E,ON,2_21_07 12-39-09 AM,Oj_102
2119076E,2119076E,ON,2_21_07 12-39-09 AM,Oj_102
1945457E,1945457E,ON,2_21_07 12-39-09 AM,Oj_102
2149303E,2149303E,ON,2_21_07 12-39-09 AM,Oj_102
2195834E,2195834E,ON,2_21_07 12-39-09 AM,Oj_102
2148419E,2148419E,ON,2_21_07 12-39-09 AM,Oj_102
2119902E,2119902E,ON,2_21_07 12-39-09 AM,Oj_102
2120112E,2120112E,ON,2_21_07 12-39-09 AM,Oj_102
2318701E,2318701E,ON,2_21_07 12-39-09 AM,Oj_102
2258383E,2258383E,ON,2_21_07 12-39-09 AM,Oj_102
2251559E,2251559E,ON,2_21_07 12-39-09 AM,Oj_102
2149556E,2149556E,ON,2_21_07 12-39-09 AM,Oj_102
2149556E,2149556E,ON,2_21_07 12-39-09 AM,Oj_102
4486631E,4486631E,ON,2_21_07 12-39-09 AM,Oj_102
2258271E,2258271E,ON,2_21_07 12-39-09 AM,Oj_102
2258271E,2258271E,ON,2_21_07 12-39-09 AM,Oj_102
2149654E,2149654E,ON,2_21_07 12-39-09 AM,Oj_102
4482956E,4482956E,ON,2_21_07 12-39-09 AM,Oj_102
4170246E,4170246E,ON,2_21_07 12-39-09 AM,Oj_102
1956690E,1956690E,ON,2_21_07 12-39-09 AM,Oj_102
2258534E,2258534E,ON,2_21_07 12-39-09 AM,Oj_102
2258283E,2258283E,ON,2_21_07 12-39-09 AM,Oj_102
2257776E,2257776E,ON,2_21_07 12-39-09 AM,Oj_102
2333118E,2333118E,ON,2_21_07 12-39-09 AM,Oj_102
4400684E,4400684E,ON,2_21_07 12-39-09 AM,Oj_102
2149147E,2149147E,ON,2_21_07 12-39-09 AM,Oj_102
2148285E,2148285E,ON,2_21_07 12-39-09 AM,Oj_102
2195902E,2195902E,ON,2_21_07 12-39-09 AM,Oj_102
4483248E,4483248E,ON,2_21_07 12-39-09 AM,Oj_102
4170247E,4170247E,ON,2_21_07 12-39-09 AM,Oj_102
2148964E,2148964E,ON,2_21_07 12-39-09 AM,Oj_102
2149270E,2149270E,ON,2_21_07 12-39-09 AM,Oj_102
2148833E,2148833E,ON,2_21_07 12-39-09 AM,Oj_102
2258388E,2258388E,ON,2_21_07 12-39-09 AM,Oj_102
4288067E,4288067E,ON,2_21_07 12-39-09 AM,Oj_102
4288067E,4288067E,ON,2_21_07 12-39-09 AM,Oj_102
2258382E,2258382E,ON,2_21_07 12-39-09 AM,Oj_102
2119077E,2119077E,ON,2_21_07 12-39-09 AM,Oj_102
4468626E,4468626E,ON,2_21_07 12-39-09 AM,Oj_102
2119023E,2119023E,ON,2_21_07 12-39-09 AM,Oj_102
2119023E,2119023E,ON,2_21_07 12-39-09 AM,Oj_102
2148101E,2148101E,ON,2_21_07 12-39-09 AM,Oj_102
2333035E,2333035E,ON,2_21_07 12-39-09 AM,Oj_102
2196226E,2196226E,ON,2_21_07 12-39-09 AM,Oj_102
2149263E,2149263E,ON,2_21_07 12-39-09 AM,Oj_102
2258274E,2258274E,ON,2_21_07 12-39-09 AM,Oj_102
4483243E,4483243E,ON,2_21_07 12-39-09 AM,Oj_102
2119911E,2119911E,ON,2_21_07 12-39-09 AM,Oj_102
2258607E,2258607E,ON,2_21_07 12-39-09 AM,Oj_102
2149098E,2149098E,ON,2_21_07 12-39-09 AM,Oj_102
CONV485275,CONV485275,ON,2_21_07 12-39-09 AM,Oj_102
2119685E,2119685E,ON,2_21_07 12-39-09 AM,Oj_102
2258612E,2258612E,ON,2_21_07 12-39-09 AM,Oj_102
2149143E,2149143E,ON,2_21_07 12-39-09 AM,Oj_102
2119050E,2119050E,ON,2_21_07 12-39-09 AM,Oj_102
2119180E,2119180E,ON,2_21_07 12-39-09 AM,Oj_102
2194741E,2194741E,ON,2_21_07 12-39-09 AM,Oj_102
4580142E,4580142E,ON,2_21_07 12-39-09 AM,Oj_102
2149128E,2149128E,ON,2_21_07 12-39-09 AM,Oj_102
2258008E,2258008E,ON,2_21_07 12-39-09 AM,Oj_102
2257782E,2257782E,ON,2_21_07 12-39-09 AM,Oj_102
2251236E,2251236E,ON,2_21_07 12-39-09 AM,Oj_102
2148110E,2148110E,ON,2_21_07 12-39-09 AM,Oj_102
2148963E,2148963E,ON,2_21_07 12-39-09 AM,Oj_102
2257411E,2257411E,ON,2_21_07 12-39-09 AM,Oj_102
2118888E,2118888E,ON,2_21_07 12-39-09 AM,Oj_102
2119112E,2119112E,ON,2_21_07 12-39-09 AM,Oj_102
1945455E,1945455E,ON,2_21_07 12-39-09 AM,Oj_102
2333002E,2333002E,ON,2_21_07 12-39-09 AM,Oj_102
2318483E,2318483E,ON,2_21_07 12-39-09 AM,Oj_102
4400698E,4400698E,ON,2_21_07 12-39-09 AM,Oj_102
2149068E,2149068E,ON,2_21_07 12-39-09 AM,Oj_102
4486628E,4486628E,ON,2_21_07 12-39-09 AM,Oj_102
2258376E,2258376E,ON,2_21_07 12-39-09 AM,Oj_102
4400693E,4400693E,ON,2_21_07 12-39-09 AM,Oj_102
4400693E,4400693E,ON,2_21_07 12-39-09 AM,Oj_102
2119299E,2119299E,ON,2_21_07 12-39-09 AM,Oj_102
2120209E,2120209E,ON,2_21_07 12-39-09 AM,Oj_102
2119925E,2119925E,ON,2_21_07 12-39-09 AM,Oj_102
2098775E,2098775E,ON,2_21_07 12-39-09 AM,Oj_102
2119182E,2119182E,ON,2_21_07 12-39-09 AM,Oj_102
4000814E,4000814E,ON,2_21_07 12-39-09 AM,Oj_102
2149126E,2149126E,ON,2_21_07 12-39-09 AM,Oj_102
4361250E,4361250E,ON,2_21_07 12-39-09 AM,Oj_102
4486635E,4486635E,ON,2_21_07 12-39-09 AM,Oj_102
2196228E,2196228E,ON,2_21_07 12-39-09 AM,Oj_102
2258247E,2258247E,ON,2_21_07 12-39-09 AM,Oj_102
4474164E,4474164E,ON,2_21_07 12-39-09 AM,Oj_102
2257971E,2257971E,ON,2_21_07 12-39-09 AM,Oj_102
2120116E,2120116E,ON,2_21_07 12-39-09 AM,Oj_102
2195824E,2195824E,ON,2_21_07 12-39-09 AM,Oj_102
2119177E,2119177E,ON,2_21_07 12-39-09 AM,Oj_102
2120113E,2120113E,ON,2_21_07 12-39-09 AM,Oj_102
4170248E,4170248E,ON,2_21_07 12-39-09 AM,Oj_102
2258289E,2258289E,ON,2_21_07 12-39-09 AM,Oj_102
2333398E,2333398E,ON,2_21_07 12-39-09 AM,Oj_102
2119016E,2119016E,ON,2_21_07 12-39-09 AM,Oj_102
2119843E,2119843E,ON,2_21_07 12-39-09 AM,Oj_102
2119843E,2119843E,ON,2_21_07 12-39-09 AM,Oj_102
2318376E,2318376E,ON,2_21_07 12-39-09 AM,Oj_102
4170201E,4170201E,ON,2_21_07 12-39-10 AM,Oj_102
2333642E,2333642E,ON,2_21_07 12-39-10 AM,Oj_102
4580141E,4580141E,ON,2_21_07 12-39-10 AM,Oj_102
4486633E,4486633E,ON,2_21_07 12-39-10 AM,Oj_102
2258907E,2258907E,ON,2_21_07 12-39-10 AM,Oj_102
2148121E,2148121E,ON,2_21_07 12-39-10 AM,Oj_102
2148121E,2148121E,ON,2_21_07 12-39-10 AM,Oj_102
2333116E,2333116E,ON,2_21_07 12-39-10 AM,Oj_102
2196065E,2196065E,ON,2_21_07 12-39-10 AM,Oj_102
2119675E,2119675E,ON,2_21_07 12-39-10 AM,Oj_102
2195831E,2195831E,ON,2_21_07 12-39-10 AM,Oj_102
1945471E,1945471E,ON,2_21_07 12-39-10 AM,Oj_102
2148320E,2148320E,ON,2_21_07 12-39-10 AM,Oj_102
2120206E,2120206E,ON,2_21_07 12-39-10 AM,Oj_102
2148968E,2148968E,ON,2_21_07 12-39-10 AM,Oj_102
2333392E,2333392E,ON,2_21_07 12-39-10 AM,Oj_102
2149214E,2149214E,ON,2_21_07 12-39-10 AM,Oj_102
2149605E,2149605E,ON,2_21_07 12-39-10 AM,Oj_102
2251561E,2251561E,ON,2_21_07 12-39-10 AM,Oj_102
2148420E,2148420E,ON,2_21_07 12-39-10 AM,Oj_102
2148445E,2148445E,ON,2_21_07 12-39-10 AM,Oj_102
2149569E,2149569E,ON,2_21_07 12-39-10 AM,Oj_102
2148440E,2148440E,ON,2_21_07 12-39-10 AM,Oj_102
2258369E,2258369E,ON,2_21_07 12-39-10 AM,Oj_102
2119683E,2119683E,ON,2_21_07 12-39-10 AM,Oj_102
2318763E,2318763E,ON,2_21_07 12-39-10 AM,Oj_102
2149294E,2149294E,ON,2_21_07 12-39-10 AM,Oj_102
2119912E,2119912E,ON,2_21_07 12-39-10 AM,Oj_102
2258697E,2258697E,ON,2_21_07 12-39-10 AM,Oj_102
2195845E,2195845E,ON,2_21_07 12-39-10 AM,Oj_102
2251688E,2251688E,ON,2_21_07 12-39-10 AM,Oj_102
1956691E,1956691E,ON,2_21_07 12-39-10 AM,Oj_102
2119046E,2119046E,ON,2_21_07 12-39-10 AM,Oj_102
4400699E,4400699E,ON,2_21_07 12-39-10 AM,Oj_102
2258365E,2258365E,ON,2_21_07 12-39-10 AM,Oj_102
4468629E,4468629E,ON,2_21_07 12-39-10 AM,Oj_102
2258688E,2258688E,ON,2_21_07 12-39-10 AM,Oj_102
2149564E,2149564E,ON,2_21_07 12-39-10 AM,Oj_102
2148957E,2148957E,ON,2_21_07 12-39-10 AM,Oj_102
2148957E,2148957E,ON,2_21_07 12-39-10 AM,Oj_102
2149308E,2149308E,ON,2_21_07 12-39-10 AM,Oj_102
2194748E,2194748E,ON,2_21_07 12-39-10 AM,Oj_102
1911621E,1911621E,ON,2_21_07 12-39-10 AM,Oj_102
2318479E,2318479E,ON,2_21_07 12-39-10 AM,Oj_102
4153512E,4153512E,ON,2_21_07 12-39-10 AM,Oj_102
2148831E,2148831E,ON,2_21_07 12-39-10 AM,Oj_102
4288061E,4288061E,ON,2_21_07 12-39-10 AM,Oj_102
4288061E,4288061E,ON,2_21_07 12-39-10 AM,Oj_102
4580144E,4580144E,ON,2_21_07 12-39-10 AM,Oj_102
CONV485246,CONV485246,ON,2_21_07 12-39-10 AM,Oj_102
2148962E,2148962E,ON,2_21_07 12-39-10 AM,Oj_102
2119229E,2119229E,ON,2_21_07 12-39-10 AM,Oj_102
4000813E,4000813E,ON,2_21_07 12-39-10 AM,Oj_102
2318764E,2318764E,ON,2_21_07 12-39-10 AM,Oj_102
4580140E,4580140E,ON,2_21_07 12-39-10 AM,Oj_102
2195829E,2195829E,ON,2_21_07 12-39-10 AM,Oj_102
2119176E,2119176E,ON,2_21_07 12-39-10 AM,Oj_102
2149140E,2149140E,ON,2_21_07 12-39-10 AM,Oj_102
2258689E,2258689E,ON,2_21_07 12-39-10 AM,Oj_102
2119227E,2119227E,ON,2_21_07 12-39-10 AM,Oj_102
2119906E,2119906E,ON,2_21_07 12-39-10 AM,Oj_102
2119106E,2119106E,ON,2_21_07 12-39-10 AM,Oj_102
2318705E,2318705E,ON,2_21_07 12-39-10 AM,Oj_102
2258282E,2258282E,ON,2_21_07 12-39-10 AM,Oj_102
2333556E,2333556E,ON,2_21_07 12-39-10 AM,Oj_102
2119845E,2119845E,ON,2_21_07 12-39-10 AM,Oj_102
2119845E,2119845E,ON,2_21_07 12-39-10 AM,Oj_102
4483245E,4483245E,ON,2_21_07 12-39-10 AM,Oj_102
4437792E,4437792E,CYCLING,2_20_07 9-04-31 PM,Oj_102
2119040E,2119040E,ON,2_21_07 12-39-10 AM,Oj_102
2118448E,2118448E,ON,2_21_07 12-39-10 AM,Oj_102
2148323E,2148323E,ON,2_21_07 12-39-10 AM,Oj_102
2149216E,2149216E,ON,2_21_07 12-39-10 AM,Oj_102
1945464E,1945464E,ON,2_21_07 12-39-10 AM,Oj_102
2258284E,2258284E,ON,2_21_07 12-39-10 AM,Oj_102
2258666E,2258666E,ON,2_21_07 12-39-10 AM,Oj_102
2257778E,2257778E,OFF,2_20_07 10-20-02 PM,Oj_102
2119899E,2119899E,ON,2_21_07 12-39-10 AM,Oj_102
2119899E,2119899E,ON,2_21_07 12-39-10 AM,Oj_102
2148834E,2148834E,ON,2_21_07 12-39-10 AM,Oj_102
2119019E,2119019E,ON,2_21_07 12-39-10 AM,Oj_102
2148282E,2148282E,ON,2_21_07 12-39-10 AM,Oj_102
2333136E,2333136E,ON,2_21_07 12-39-10 AM,Oj_102
2118889E,2118889E,ON,2_21_07 12-39-10 AM,Oj_102
4486634E,4486634E,ON,2_21_07 12-39-10 AM,Oj_102
2119918E,2119918E,ON,2_21_07 12-39-10 AM,Oj_102
2148427E,2148427E,ON,2_21_07 12-39-10 AM,Oj_102
2258390E,2258390E,ON,2_21_07 12-39-10 AM,Oj_102
2194745E,2194745E,ON,2_21_07 12-39-10 AM,Oj_102
4580143E,4580143E,ON,2_21_07 12-39-10 AM,Oj_102
2119049E,2119049E,ON,2_21_07 12-39-10 AM,Oj_102
2258361E,2258361E,ON,2_21_07 12-39-10 AM,Oj_102
4468627E,4468627E,ON,2_21_07 12-39-10 AM,Oj_102
2119296E,2119296E,ON,2_21_07 12-39-10 AM,Oj_102
4580139E,4580139E,ON,2_21_07 12-39-10 AM,Oj_102
2119018E,2119018E,ON,2_21_07 12-39-10 AM,Oj_102
4288059E,4288059E,ON,2_21_07 12-39-10 AM,Oj_102
4288059E,4288059E,ON,2_21_07 12-39-10 AM,Oj_102
2148107E,2148107E,ON,2_21_07 12-39-10 AM,Oj_102
2333031E,2333031E,ON,2_21_07 12-39-10 AM,Oj_102
CONV594598,CONV594598,ON,2_21_07 12-39-10 AM,Oj_102
2120047E,2120047E,ON,2_21_07 12-39-10 AM,Oj_102
2148466E,2148466E,ON,2_21_07 12-39-10 AM,Oj_102
2148466E,2148466E,ON,2_21_07 12-39-10 AM,Oj_102
2195901E,2195901E,ON,2_21_07 12-39-10 AM,Oj_102
2194747E,2194747E,ON,2_21_07 12-39-10 AM,Oj_102
2119281E,2119281E,ON,2_21_07 12-39-10 AM,Oj_102
2119281E,2119281E,ON,2_21_07 12-39-10 AM,Oj_102
2258604E,2258604E,ON,2_21_07 12-39-10 AM,Oj_102
2149217E,2149217E,ON,2_21_07 12-39-10 AM,Oj_102
2148829E,2148829E,ON,2_21_07 12-39-10 AM,Oj_102
2119392E,2119392E,ON,2_21_07 12-39-10 AM,Oj_102
4483244E,4483244E,ON,2_21_07 12-39-10 AM,Oj_102
2149211E,2149211E,ON,2_21_07 12-39-10 AM,Oj_102
2258680E,2258680E,ON,2_21_07 12-39-10 AM,Oj_102
2149139E,2149139E,ON,2_21_07 12-39-10 AM,Oj_102
2119849E,2119849E,ON,2_21_07 12-39-10 AM,Oj_102
2119849E,2119849E,ON,2_21_07 12-39-10 AM,Oj_102
2149557E,2149557E,ON,2_21_07 12-39-10 AM,Oj_102
2149557E,2149557E,ON,2_21_07 12-39-10 AM,Oj_102
2257774E,2257774E,ON,2_21_07 12-39-10 AM,Oj_102
2149080E,2149080E,ON,2_21_07 12-39-10 AM,Oj_102
2148972E,2148972E,ON,2_21_07 12-39-10 AM,Oj_102
2149127E,2149127E,ON,2_21_07 12-39-10 AM,Oj_102
2333113E,2333113E,CYCLING,2_20_07 10-23-21 PM,Oj_102
2251228E,2251228E,ON,2_21_07 12-39-10 AM,Oj_102
2148111E,2148111E,ON,2_21_07 12-39-10 AM,Oj_102
2119118E,2119118E,ON,2_21_07 12-39-10 AM,Oj_102
2118886E,2118886E,OFF,2_20_07 11-03-29 PM,Oj_102
2333004E,2333004E,ON,2_21_07 12-39-10 AM,Oj_102
1945460E,1945460E,ON,2_21_07 12-39-10 AM,Oj_102
1945454E,1945454E,ON,2_21_07 12-39-10 AM,Oj_102
2119692E,2119692E,CYCLING,2_20_07 9-46-41 PM,Oj_102
2149067E,2149067E,ON,2_21_07 12-39-10 AM,Oj_102
2318767E,2318767E,ON,2_21_07 12-39-10 AM,Oj_102
4580101E,4580101E,ON,2_21_07 12-39-10 AM,Oj_102
2257968E,2257968E,ON,2_21_07 12-39-10 AM,Oj_102
2318386E,2318386E,OFF,2_20_07 11-07-50 PM,Oj_102
2149146E,2149146E,ON,2_21_07 12-39-10 AM,Oj_102
4580138E,4580138E,ON,2_21_07 12-39-10 AM,Oj_102
2120210E,2120210E,ON,2_21_07 12-39-10 AM,Oj_102
2119179E,2119179E,ON,2_21_07 12-39-10 AM,Oj_102
4400677E,4400677E,ON,2_21_07 12-39-10 AM,Oj_102
2258249E,2258249E,ON,2_21_07 12-39-10 AM,Oj_102
2251795E,2251795E,ON,2_21_07 12-39-10 AM,Oj_102
4170244E,4170244E,ON,2_21_07 12-39-10 AM,Oj_102
4474163E,4474163E,ON,2_21_07 12-39-10 AM,Oj_102
2258288E,2258288E,ON,2_21_07 12-39-10 AM,Oj_102
