Original_Structure_Number,Field_Structure_Number,Pole_XY_Coordinate,Lens_Type
2240560E,2240560E,1103443.63279375;12400391.4580292,DROP
2240603E,2240603E,1103404.14688499;12403433.1097783,DROP
2241018E,2241018E,1101713.37658609;12404560.0739461,DROP
2241050E,2241050E,1101676.81226199;12405352.6166137,DROP
2241085E,2241085E,1101514.34350466;12405581.6450682,DROP
2279626E,2279626E,1100241.84958066;12406261.9802998,DROP
2279627E,2279627E,1100164.92449634;12406363.5687527,DROP
2279662E,2279662E,1100253.44406746;12406654.2439152,DROP
2288793E,2288793E,1101682.45114558;12403023.7137864,DROP
3003003E,3003003E,1102960.36268478;12403466.1289901,DROP
3005513E,3005513E,1100307.57099067;12401210.9801065,N/A
4312717E,4312717E,1096699.24398165;12403677.1491616,DROP
4460216E,4460216E,1101637.17629582;12404874.3548933,DROP
4726752E,4726752E,1099349.15424962;12404458.7576292,N/A
1099406E,1099406E,1229768.09316458;12333579.0016376,DROP
1378501E,1378501E,1221812.34423837;12337452.0455855,DROP
1378505E,1378505E,1222034.03466895;12337968.1067376,DROP
1477202E,1477202E,1224566.74206357;12337582.2051107,DROP
1612360E,1612360E,1222603.13350844;12338441.6533733,DROP
1700071E,1700071E,1229136.12460134;12334037.1688096,DROP
1700692E,1700692E,1231162.53195697;12335162.6820555,FLAT
1701501E,1701501E,1229211.1694921;12334041.1908418,DROP
1701502E,1701502E,1229378.3715935;12334211.9958249,DROP
1701506E,1701506E,1228980.21391742;12334504.1421777,FLAT
1701513E,1701513E,1230368.4597752;12333843.1628148,FLAT
1701516E,1701516E,1231855.70205418;12334720.7183971,FLAT
1714212E,1714212E,1227831.61775987;12335293.9923493,DROP
1767061E,4596749E,1231242.68901161;12333714.8072768,FLAT
1892726E,1892726E,1228441.95516416;12336862.8776691,DROP
1892731E,1892731E,1228509.89602724;12333860.3303741,DROP
2027850E,2027850E,1225552.21758136;12334162.4588159,DROP
2244468E,2244468E,1234153.6538188;12338043.4384148,DROP
234169E,234169E,1230054.83152011;12334407.1778762,DROP
2380540E,2380540E,1231829.24496483;12336991.7999238,DROP
319977E,319977E,1227248.1357587;12335559.5505443,DROP
4388196E,4388196E,1234324.94555774;12336914.3442949,DROP
4457191E,4457191E,1222952.17117445;12337492.7209698,DROP
4584448E,4584448E,1224168.60999515;12338491.2843927,FLAT
4596589E,4596589E,1232048.51043202;12339012.7123566,FLAT
4617532E,4617532E,1225508.74839628;12338666.8330702,FLAT
4618210E,4618210E,1228599.1366507;12336529.1293832,FLAT
